,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
1,1L,NY,,"Fitzpatrick, T.J.",s.n.,7,3,1896,IA,Appanoose County,,,40.68061,-92.85771,303,10.3,916,5,4,81.21,90.45,43.48,48.17,62.35,69.31,1.111627907,2880.75
2,2L,NY,1116276,"Altha, Daniel",7276,5,18,2009,TN,Albion County,"ca 12 km NE of Tiptonville, E shore of Reelfoot Lake, place locally known as Walnut Log",,36.443278,-89.351941,86,14.6,1275,4,3,76.45,86.61,63.43,73.44,69.94,80.03,1.144266514,3731.3
3,3L,NY,,"McCoy, Scott",5632,8,15,1942,IN,Marion County,Holliday Park Botanical Garden (is this in cultivation),,39.871071,-86.161234,239.4,10.9,1007,4,3,93.89,93.98,91.92,97.95,92.91,95.97,1.032935098,5943.75
4,4L,NY,,"Stark, Orton K.",311,7,9,1922,IN,Noble County,Near Big K(?) lake,,41.427738,-85.354964,297,9,933,4,3,116.51,111.36,82.08,93.18,99.3,102.27,1.029909366,6769.93
5,5L,NY,,"McKee, Madge",1313,7,12,1932,IN,Newton County,Washington Twp,,40.869779,-87.440579,200,9.9,961,4,3,98.14,92.74,87.6,89.09,92.87,90.92,0.979002907,5628.85
6,6L,NY,,"McCoy, Scott",908,8,2,1931,IN,Marion County,Woollens Gardens,,39.866205,-86.050286,225,10.8,1019,4,3,73.9,77.42,62.67,68.56,68.29,72.99,1.068824132,3322.75
7,7L,NY,,"McCoy, Scott",4693,9,19,1937,IN,Marion County,High woods north of Indianapolis,,39.855294,-86.171825,232.4,10.9,1012,4,3,93.04,102,79.74,98.91,86.39,100.46,1.162866072,5785.54
8,8L,NY,,"Britton, N.L.",s.n.,8,31,1885,VA,,Luray,,38.665397,-78.459452,242,11.7,980,6,4,92.68,94.62,90.25,92.82,91.47,93.72,1.024598229,5714.73
9,9L,NY,,"Credle, Walter C.",480,6,6,1979,SC,Abbeville County,Slope along Bond Creek; 1 mile east of the Savannah River and about 1 mile south of the Anderson-Abbeville County Line,,34.206284,-82.720779,132.4,16.2,1209,5,4,83.57,88.09,87.22,90.74,85.4,89.42,1.0470726,5090.4
10,10L,NY,,"Willis, O.R.",s.n.,7,4,1882,NY,Westchester County,White Plains,,41.033986,-73.76291,65.3,NA,NA,2,3,77.27,89.79,75.73,87.17,76.5,88.48,1.156601307,4512.48
11,11L,NY,,"Patterson, Henry N",s.n.,NA,,1874,IL,,Oquawka,,40.93182,-90.947086,168,10.4,897,4,3,76.33,81.15,69.64,79.76,72.99,80.46,1.102342787,3914.67
12,12L,NY,,"Greene, E.L.",s.n.,8,,1890,IL,,Monticello,,40.027812,-88.573398,200.1,11,984,5,3,127.62,135.18,128.14,154.35,127.88,144.77,1.132076947,12341.7
13,13L,NY,,"Fisher, George L.",3939,6,15,1919,KY,,Center City,"[lat long taken for Central City, Muhlenberg County]",37.293932,-87.123329,133.2,13.7,1222,4,3,90.89,96.77,72.84,87.39,81.87,92.08,1.124709906,5025.42
14,14L,NY,,"Atha, Daniel",7185,5,14,2009,TN,Decatur County,"ca 16 km SW of Parsons town, ca 2 km W of Tennessee River","[says SW on sheet; given lat long is actually SE of Parsons, and TN river is W of Parsons]",35.54359,-88.0056,122.1,14.6,1388,5,4,104.72,112.88,96.66,108.84,100.69,110.86,1.101003079,7441.66
15,15L,NY,,"Nee, M.",56365,6,6,2009,IN,Brown County,below dam at Yellowwood Lake in Yellowwood State Forest,,39.176389,-86.341389,172,11.5,1090,5,3,109.26,118.67,109.27,119.6,109.27,119.14,1.090326714,8678.19
16,16L,NY,,"Atha, Daniel",7239,5,17,2009,TN,Lake County,"ca 5.8 km NE of Tiptonville, W of Reelfoot Lake, Carrington Rd",,36.409099,-89.414634,87,14.6,1272,5,3,96.22,98.99,100.45,99.1,98.34,99.05,1.00721985,6493.06
17,17L,NY,,"Buddell, George F. II",3232,6,17,1984,KY,Pendleton,Rt 8 near Black River Lime mine ca. 3 miles east of Mentor,,38.855086,-84.243644,182.4,11.8,1085,2,4,68.33,84.55,65.92,75.13,67.13,79.84,1.189334128,3572.84
18,18L,NY,,"Goodman, George J",5530,7,30,1952,OK,Delaware County,near state highway 10 about 1/2 mile south of Spavinaw Bridge,,36.343958,-94.821691,248.2,15,1127,6,3,96.05,87.95,80.25,75.34,88.15,81.65,0.926262053,4798
19,19L,NY,,"Nee, M.",32598,8,6,1986,IL,Randolph County,"Turkey Bluff Scenic Overlook, Turkey Bluff State Fish and Wildlife area, 4 miles NW of Rockwood",,37.867998,-89.753422,187.1,13.2,1074,5,2,91.39,78.29,89.3,85.15,90.35,81.72,0.904482568,4922
20,20L,NY,,"Camp, W.H.",1403,8,6,1936,VA,Page County,eastern foothills of Massanutten Mountain,,38.633784,-78.580083,272.9,11.5,967,5,3,109.36,108.92,104.34,102.16,106.85,105.54,0.987739822,7517.97
21,21L,NY,,"Schallert, P.O.",410-42,4,13,1941,NC,Forsyth County,,,36.133565,-80.231323,276.8,14.4,1151,4,3,88.86,94.6,52.67,51.29,70.77,72.95,1.030804013,3441.3
22,22L,NY,,"Small, John K.",370,8,13-18,1891,NC,Rowan County,near Heilig's Mill P.O.,,35.621408,-80.472895,236.5,14.8,1141,5,3,104.89,106.22,115.1,102.94,110,104.58,0.950727273,7668.85
23,23L,NY,,"Harbison, T.G.",s.n.,NA,,,NC,Orange County,,,36.026302,-79.10969,200,14.4,1167,4,3,86.61,77.45,83.73,75.77,85.17,76.61,0.899495127,4349.92
24,24L,NY,,"Curtiss, A.H.",s.n.,10,1,1871,VA,Bedford County,,,37.308215,-79.605288,247.1,13.4,1060,4,4,77.62,84.67,61.12,69.95,69.37,77.31,1.1144587,3575.33
25,25L,Ny,,"Clausen, Robert T",7756,5,31,1949,IL,Johnson County,4 miles SW of New Burnside,,37.533333,-88.775,209,13.1,1197,4,3,80.78,88.76,75.56,82.36,78.17,85.56,1.094537546,4458.82
26,26L,NY,,"Stein, Bruce A.",1765,6,9,1984,MO,Jefferson County,"Victoria-Hillsborough Rd, Victoria East Glade",,38.202081,-90.540697,182,12.5,1010,4,3,71.74,79.12,68.79,73.2,70.27,76.16,1.083819553,3567.59
27,27L,NY,,"Hall, E. (Elihu?)",s.n.,NA,,1863,IL,,Athens,,39.960883,-89.723994,182.6,11.2,916,4,3,87.81,75.75,58.77,68.44,73.29,72.1,0.983763133,3522.56
28,28L,NY,,"Goodman, George J",4774,5,8,1948,OK,Murray County,"On Price Falls Rd in Pontotoc Conglomerate, Arbuckle Mts",,34.426671,-97.106567,239.7,16.5,914,4,5,70.97,79.61,68.99,70.11,69.98,74.86,1.06973421,3492.47
29,29L,NY,,"Stevens, G.W.",869,6,11,1913,OK,Dewey County,near Canton,,36.058053,-98.650754,527,14.6,701,5,3,72.01,37.04,64.79,67.71,68.4,52.38,0.765789474,2388.3
30,30L,NY,,"Laubengayer, R.A.",19238,6,15,1957,IN,Parke County,Allee Woods,,39.873286,-87.273112,190.8,11,1049,2,3,66.02,75.64,70.34,77.55,68.18,76.6,1.123496627,3481.5
31,31L,NY,,"Cory, V.L.",42694,7,11,1943,TX,Real County,29 1/3 miles east of Rocksprings,,29.86364,-99.756239,568.7,18,696,1,6,48.95,68.17,48.73,64.51,48.84,66.34,1.358312858,2160.03
32,32L,NY,,"Cory, V.L.",51767,4,28,1946,TX,Kerr County,4 miles SW of Kerrville,,30.006891,-99.174408,538.1,18.3,743,2,4,69.71,77.77,61.1,71.44,65.41,74.61,1.140651277,3253.03
33,33L,NY,,"Buckley, J.B. (S.B.?)",s.n.,10,,1881,TX,,Mt. Bonnel near Austin,,30.320762,-97.77334,226.2,19.9,817,2,4,35.82,48.88,39.43,45.98,37.63,47.43,1.260430508,1189.7
34,34L,NY,,Bray W.L.,71,4,10,1898,TX,,"Bull Creek, Austin",,30.338648,-97.786798,148.4,19.7,828,2,5,60.88,77.62,47.74,58.48,54.31,68.05,1.252992082,2463.86
35,35L,NY,,"Cory, V.L.",49438,6,2,1945,TX,Bandera County,7 3/4 miles north of Vanderpool,,29.836667,-99.572359,592.1,17.7,733,2,5,46.56,55.18,41.84,50.13,44.2,52.66,1.191402715,1551.57
36,36L,NY,,"Purrington, J.",13,3,21,1986,LA,,"Orleans Parish: City Park, New Orleans",,30.000032,-90.095706,-0.5,20.2,1531,5,3,73.07,69.07,64.51,67.5,68.79,68.29,0.992731502,3131.55
37,37L,NY,,"Bush, B.F.",198,7,24,1895,MO,,Campbell,,36.493393,-90.075095,96,14.7,1217,4,3,100.73,102.02,80.06,79.45,90.4,90.74,1.003761062,5467.99
38,38L,NY,,"Bush, B.F.",283,6,2,1895,MO,,Independence,,39.091116,-94.415507,315.8,12.3,975,4,3,85.76,83.2,75.46,77.81,80.61,80.51,0.998759459,4326.34
39,39L,NY,,"Davis, John",958,9,12,1911,MO,,Whiteside,,39.185324,-91.016804,241.7,11.8,968,4,3,91.3,99.62,78.8,84.51,85.05,92.07,1.082539683,5220.09
40,40L,NY,,"Palmer, E.J.",36631,6,21,1930,MO,Johnson County,near Columbus,,38.856979,-93.890663,257,12.2,1021,5,4,93.16,100.75,88.95,95.65,91.06,98.2,1.07840984,5961.07
41,41L,NY,,"Cory, V.L.",53352,7,2,1946,TX,Ellis County,"Waxahachie Creek, 3 3/4 miles northwest of Waxahachie",,32.414838,-96.900762,187.6,18.7,913,5,3,92.01,93.1,85.62,89.02,88.82,91.06,1.025219545,5391.66
42,42L,NY,,"Bush, B.F.",659,5,8,1900,TX,,Dallas,,32.802955,-96.769923,154,18.5,934,4,3,94.65,102.36,79.19,40,86.92,71.18,0.818913944,4124.64
43,43L,NY,,"Lundell, C.L.",9189,5,31,1940,TX,Dallas County,"along White Rock Creek, near Vickery",,32.82321,-96.757071,178.5,18.5,934,5,2,70.12,73.04,61.31,76.24,65.72,74.64,1.135727328,3269.98
44,44L,NY,,"Hopkins, Milton",5984,6,14,1941,OK,Murray County,Frank's Conglomerate Formation on top of Cow Pen Canyon Arbuckle Mts,,34.430853,-97.193401,380.8,16.1,935,1,4,59.18,70.86,60.12,70.48,59.65,70.67,1.184744342,2810.31
45,45L,NY,,Lindheimer,753,NA,,1849-1851,TX,,"""Comanche Spring; New Braunfels, etc.""",,29.741807,-98.472327,333.4,19.5,842,2,5,71.21,90.86,57.98,62.6,64.6,76.73,1.187770898,3304.25
46,46L,NY,,"Bartholomew, Elizabeth A.",s.n.,7,5,1940,WV,Wirt County,Along river road 2 miles south of Elizabeth,,39.0396,-81.41882,196.7,11.4,1097,3,3,84.34,94.81,75.25,82.16,79.8,88.49,1.108897243,4707.11
47,47L,NY,,"Small, John K.",s.n.,8,2,1892,VA,Smyth County,"along middle fork Holston River, Marion",,36.768491,-81.566689,684.7,11.1,1149,3,3,78.69,80.63,69.14,75.75,73.92,78.19,1.057765152,3852.94
48,48L,NY,,"Vogenberger, R.",8068,8,9,1934,TN,,Hancock-Claiborne County Line,,36.522249,-83.393144,406.4,12.3,1273,6,3,100.69,98.29,74.17,75.19,87.43,86.74,0.992107972,5055.79
49,49L,NY,,"Longbottom, Wayne D",13438,5,30,2010,MD,,"North of Little Orleans, at the south end of Yonkers Rd at Fifteen mile Creek",,39.640422,-78.388863,184.6,10.8,924,4,3,90.38,80.7,70.32,70.95,80.35,75.83,0.943746111,4061.69
50,50L,NY,,"Wharton, Mary E.",636,7,2,1937,KY,Madison County,Bank of branch near Big Hill,,37.555205,-84.205207,255.8,12.8,1210,6,3,121.77,124.56,107.55,113.26,114.66,118.91,1.037066108,9089.48
51,51L,NY,,"Eggleston, W.W.",12250,10,40002,1915,MO,Taney County,Swan,,36.794884,-93.061081,247.5,13.3,1093,3,2,89.97,94.93,75.88,82.91,82.93,88.92,1.072229591,4915.79
52,52L,NY,,"House, H.D.",309,8,21,1904,MD,,Cabin John Bridge,,38.972888,-77.14859,19.9,12.7,1027,2,3,80.97,92.86,75.47,87.8,78.22,90.33,1.154819739,4710.41
53,53L,NY,,"Higgins, Larry C.",12144,7,22,1978,TX,Ochiltree County,Lake Fryer,,36.220997,-100.646332,805,NA,NA,4,3,96.55,94.09,98.88,102.51,97.72,98.3,1.005935325,6403.59
54,54L,NY,,"Cory, V.L.",52528,10,22,1946,TX,Rockwall County,3 1/4 airline miles NW of Rockwall,,32.976589,-96.475766,132,17.9,991,5,4,91.2,102.86,82.69,92.89,86.95,97.88,1.125704428,5673.16
55,55L,NY,,"Houghton, H.W.",s.n.,5,24,1916,OK,McCurtain County,Near Idabel,,33.895665,-94.826328,143.8,16.6,1245,3,3,72.6,80.66,76.1,80.37,74.35,80.52,1.082985878,3990.86
56,56L,NY,,,s.n.,NA,,,NC,,Raleigh,,35.772096,-78.638614,96.6,15.4,1142,6,3,97.26,84.73,94.82,94.85,96.04,89.79,0.934922949,5748.95
57,57L,NY,,"Whitehouse, Eula",15674,5,4,1946,TX,Cooke County,"Grand Prairie, west of Highway 77 north of Gainesville near Red River bridge",,33.726924,-97.160023,198,17.5,916,4,4,72.62,80.08,56.96,63.4,64.79,71.74,1.10726964,3098.69
58,58L,NY,,"Commons, A",s.n.,7,2,1866,DE,,Woodlands near Centreville,,39.822636,-75.61742,129,11.7,1146,4,3,75.43,84.54,77.78,41.51,76.61,63.03,0.822738546,3218.69
59,59L,NY,,"Smith, Logan D.",949,7,17,1947,TX,McLennan County,south of Oak Lake,,31.57103,-97.010043,131.8,19.3,832,4,3,61.4,62.49,68.27,57.12,64.84,59.81,0.922424429,2584.97
60,60L,NY,,"Morse, Caleb A.",2643,7,14,1998,MO,Barry County,"8.0 mi S, 1.5 mi E Cassville. Mark Twain National Forest. 1.75 mi S junction of Highways 112 and F, from point 0.2 mi down old logging Rd off E side of Highway 112",,36.559806,-93.837936,374,13.3,1132,6,3,58.54,60.95,64.44,59.38,61.49,60.17,0.978533095,2466.36
61,61L,NY,,"Hill, Steven R",33811,5,22,2001,IL,Union County,"Sect. 1 Ware (south), Illinoise Route 3 (FAP 312), west side, north side of bridge over Running Lake Ditch, 1.95 miles south of junction with Illinois Route 146",,37.421093,-89.390542,101.2,13.6,1173,5,3,111.6,120.56,114.26,114.62,112.93,117.59,1.0412645,8852.96
62,62L,NY,,"House, H.D.",1769,5,20,1906,SC,Oconee County,Clemson College,,34.681988,-82.835243,233.1,15.8,1365,5,3,83.99,39.56,78.39,72.32,81.19,55.94,0.689001109,3027.85
63,63L,NY,,"Britton, N.L.",s.n.,8,31,1885,VA,,Luray,,38.665458,-78.459335,242.5,11.7,980,6,4,94.34,97.3,74.17,77.5,84.26,87.4,1.037265606,4909.26
64,64L,NY,,"Commons, A.",s.n.,7,,1866,DE,,Rich woods above Rockland,,39.802465,-75.570475,44.2,11.7,1146,2,3,88.71,91.83,91.65,99.92,90.18,95.88,1.063206919,5764.01
65,65L,NY,,,314,9,9,1897,NC,,Biltmore,,35.539408,-82.551939,672.8,12.7,1168,6,3,80.75,67.41,51.46,49.91,66.11,58.66,0.88730903,2585.15
66,66L,NY,,"Kearney, T.H. Jr.",439,9,,1893,KY,Bell County,Along Cumberland River,,36.732952,-83.612849,333.3,12.5,1300,4,2,103.49,98.71,100.97,105.3,102.23,102.01,0.99784799,6951.98
67,67L,NY,,"Eggleston, W.W.",4561,6,39861,1909,KY,Lyon County,Kuttawa,,37.058942,-88.132526,137,14,1264,4,3,87.16,88.62,95.47,95.99,91.32,92.31,1.010840999,5619.22
68,68L,NY,,"Commons, A.",s.n.,7,2,1866,DE,,near Centreville,,39.822636,-75.61742,129,11.7,1146,4,3,81.45,79.5,75.49,78.05,78.47,78.78,1.003950554,4120.98
69,69L,NY,,"Allen, T.F.",s.n.,6,,1870,KY,Edmonson County,Mammoth Cave,,37.18658,-86.092655,180,13.5,1311,6,4,68.13,68.28,71.98,69.54,70.06,68.91,0.983585498,3218.33
70,70L,NY,,"Demaree, Delzie",19184,6,14,1939,AR,Lincoln County,Star City,duplicate,33.942879,-91.843467,83.5,16.8,1314,5,3,96.97,91.64,90.33,91.85,93.65,91.75,0.979711692,5727.95
71,71L,NY,,"Barber, J.P.",635,5,28,1984,AL,Jefferson County,Along AL highway 269 ca. 1 mi. S of jct w/ Co. Rd. 61,,33.542988,-87.087241,106.1,16.5,1450,4,3,111.36,111.85,99.11,96.72,105.24,104.29,0.990973014,7316.29
72,72L,NY,,"Tweedy, Frank",s.n.,NA,,1879,TX,Tom Green County,,,31.384876,-100.458925,568.3,NA,NA,2,4,42.26,55.08,34.06,45.72,38.16,50.4,1.320754717,1282.18
73,73L,NY,,"Mackenzie, Kenneth",s.n.,6,10,1900,MO,Jackson County,Westport,,39.068191,-94.593975,297.5,12.8,963,4,4,100.3,109.86,76.33,91.54,88.32,100.7,1.140172101,5928.88
74,74L,NY,,"D'Arcy, W.G.",2003,5,15,1966,FL,Alachua County,"NW 11th Ave, near 13th st, Gainesville",,29.663298,-82.356047,28.1,20.4,1334,4,3,89.78,96.11,91.57,90.94,90.68,93.53,1.031429202,5653.59
75,75L,NY,,"Correll, D.S.",12981,7,2,1946,TX,Cooke County,"Tyler Bluff, western edge of county",,33.735,-97.457222,355,17.1,905,3,3,69.5,84.68,64.5,79.24,67,81.96,1.223283582,3660.88
76,76L,NY,,"Palmer, E.J.",42002,7,28,1933,OK,Murray County,"Arbuckle Mountains, near Turner Falls State Park",,34.430993,-97.15461,317.2,16.4,923,2,3,77.5,92.16,69.4,80.22,73.45,86.19,1.173451327,4220.44
77,77L,NY,,"Ferris, Roxana S.",2828,7,21,1921,TX,Terrell County,Sanderson-Marathon Rd 44 mi. from Marathon,,30.150731,-102.53517,947.2,NA,NA,2,6,53.72,56.62,43.98,50.68,48.85,53.65,1.09825998,1747.2
78,78L,NY,,"Demaree, Delzie",17200,4,30,38,AR,Clark County,Okolona,,33.997326,-93.337953,112,16.5,1371,4,3,83.78,85.01,84.47,97.56,84.13,91.29,1.085106383,5119.57
79,79L,NY,,"Blanchard, Ferdinand",s.n.,8,,1890,VA,,Barboursville,,38.173829,-78.287687,155.2,13,1102,4,3,112.8,118.76,97.22,113.04,105.01,115.9,1.103704409,8113.77
80,80L,NY,,"Allard, H.A.",1727,6,14,1936,VA,Fauquier County,Western Slope of Bull Run Mountains; 4 mi N of Hopewell Gap,,38.914999,-77.669725,335,11.6,1058,4,4,72.2,74.7,77.07,79.79,74.64,77.25,1.034967846,3843.45
81,81L,NY,,"Buddell, George F. II",3228,9,4,1983,KY,Lewis County,Rt 8 ca. 1 mile east of Concord,,38.676106,-83.47928,224.8,12,1085,4,3,87.88,90.42,81.74,84.66,84.81,87.54,1.0321896,4949.51
82,82L,NY,,"Hill, Steven R",10404,6,20,1981,MD,Washington County,"along High Germany Rd, 1.2 mi NE of Rte 40 near Sideling Hill Creek",,39.71667,-78.324909,288,10.4,947,5,3,116.86,123.66,118.69,123.47,117.78,123.57,1.04915945,9701.91
83,83L,NY,,"Evarts, Dave",211,6,14,1977,NC,Haywood,"Appalachian Trail, ca. 1 mi NE of junction with Big Pigeon River",,35.783603,-83.086546,881.9,12.4,1218,5,2,111.59,107.91,107.08,105.8,109.34,106.86,0.977318456,7788.66
84,84L,NY,,"Hall, Elihu",164,5,15,1872,TX,,Austin,,30.267153,-97.743061,148.8,20.1,813,2,4,61.74,70.19,58.68,65.01,60.21,67.6,1.122737087,2713.46
85,85L,NY,,"Duff, R.J.",93-145,6,25,1993,TN,Polk County,Along railroad tracks leading W from Appalachia Powerhouse on S side of the Hiawassee River,,35.183354,-84.435278,273,13.8,1473,4,4,95.74,92.01,88.68,88.6,92.21,90.31,0.97939486,5551.35
86,86L,NY,,"Smyth, B.B.",s.n.,9,15,1889,KS,,Topeka,,39.055823,-95.689018,282.5,12.5,890,4,2,83.7,77.92,81.53,77.2,82.62,77.56,0.938755749,4271.75
87,87L,NY,,"Godfrey, R.K.",53590,7,7,1955,FL,Gadsden,"Apalachicola River, at Aspalaga",,30.627651,-84.900815,16,19.4,1439,6,3,82.39,87.33,92.67,95.78,87.53,91.56,1.046041357,5342.54
88,88L,NY,,"Small, John K.",s.n.,9,25,1891,PA,Lancaster County,Conewago,,40.185056,-76.660278,127,11.1,1016,6,3,103.96,92.55,104.32,105.28,104.14,98.92,0.949875168,6867.34
89,89L,NY,,"Small, John K.",s.n.,8,5,1889,PA,Lancaster County,near Lancaster,,40.037876,-76.305514,110,11.2,1043,3,3,72.65,74.77,78.81,83.42,75.73,79.1,1.044500198,3993.24
90,90L,NY,,"Isely, Duane",10238,5,6,1967,TN,Hardeman County,Chickasaw State Park,,35.360488,-88.861888,173.1,15.1,1363,5,3,101.58,95.69,85.8,95.53,93.69,95.61,1.020493116,5971.8
91,91L,NY,,"Curtiss, A.H.",s.n.,39972,,1885,FL,Walton County,"Marianna [note: Marianna is in Jackson County, not Walton County]",,30.774356,-85.226755,99.2,19.2,1444,3,3,78.81,82.66,90.44,86.73,84.63,84.7,1.00082713,4778.21
92,92L,NY,,"Nee, M.",57151,6,15,2010,WV,Fayette County,"gorge of Kanawha River, NE side of Kanawha River, Hwy 60, 1 km SE of bridge at Gauley Bridge.",,38.157288,-81.185141,201.7,11.7,1136,4,3,106.42,104.05,93.87,76.47,100.15,90.26,0.901248128,6026.06
93,93L,NY,,"Small, John K.",s.n.,8,39975,1895,GA,Catoosa County,"along the Chickamauga Creek, near Ringgold",,34.909702,-85.10979,224.7,14.7,1404,4,3,105.28,111.54,86.24,108.8,95.76,110.17,1.150480368,7033.25
94,94L,NY,,"Hill, Steven R",22294,5,23,1991,SC,Oconee County,"Forest Rd 726 (Cedar Creek Rifle Range Rd), ca. 1 mile S of jct SC 290, ca. 6 mi due W of Walhalla",,34.781695,-83.204276,477.1,14.4,1609,5,3,94.18,96.15,89.04,92.25,91.61,94.2,1.028272023,5753.11
95,95L,NY,,"Coulter, John M.",4141,8,10,1876,IN,,"Hanover College, Hanover",,38.727836,-85.461499,240.1,12.2,1139,5,3,103.6,104.02,92.14,89.1,97.87,96.56,0.986614897,6300.22
96,96L,NCU,NCU00126499,"Austin, D.F.",835,7,4,1965,KY,Hickman County,2 miles West Hailwell,,36.697604,-89.132395,93.6,14.4,1271,4,3,95.55,108.29,106.5,110.34,101.03,109.32,1.082054835,7362.37
97,97L,NCU,NCU00126490,"Pittillo, Dan",2546,9,12,1962,KY,Allen County,"Ky 100 at Trennel Creek, 8.5 mi. E of Allen-Simpson Co. line",,36.731723,-86.272833,171.9,14.1,1314,6,3,102.36,91.88,88.34,85.08,95.35,88.48,0.927949659,5624.38
98,98L,NCU,NCU00126281,"Ahles, Harry E.",27052,6,5,1957,SC,York County,Allison Creek on SC 49 (northeast of York),,35.060191,-81.122902,177.4,15.5,1197,2,4,113.93,138.7,68.93,99.41,91.43,119.06,1.302198403,7256.8
99,99L,NCU,NCU00126284,"Clark, Ross C.",15782,7,5,1967,AL,Barbour County,"On Danner Creek, 4.3 miles southwest of Elamville",,31.636098,-85.710251,95,18.4,1353,6,4,87.36,104.61,78.68,79.38,83.02,92,1.108166707,5091.62
